Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.28476735737846265,0.0,1089.4491967091972,0.06314926163879674,,,,,,,,,,,,,,,
Flow Duration,0.226144258718247,0.0,1195948.7819126782,0.006017921807591697,,,,,,,,,,,,,,,
Total Fwd Packets,0.04153266237534314,0.0,16.628163412354375,1.7638992474799605e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.039211014010754164,0.0,24.01502854769443,3.519083826230171e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.12564163528482514,0.0,302.4628327650049,3.1237316776184114e-06,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.15055179228203444,0.0,15135.93837669859,4.6276189572473313e-10,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.11090037580529274,0.0,28.41623810859537,0.022448367295447722,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.03417535190833021,0.0,1.9532919914394204,0.003139998398526288,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.12945879533687799,0.0,7.952211818822955,0.011172638922215587,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.27025564838157873,0.0,16.532971211479303,0.010725659761426682,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.07601872283674385,0.0,69.92070486849545,0.027688136874817554,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.03693769305063199,0.0,7.043534141117413,0.008257703650779075,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.1528901553557523,0.0,12.896265315532691,0.017437866261178925,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.33752380352069467,0.0,28.36197779686577,0.04747743289894065,,,,,,,,,,,,,,,
Flow Bytes/s,0.1091731834257878,0.0,214725.24357548213,3.524402432462322e-08,,,,,,,,,,,,,,,
Flow Packets/s,0.13327899337267968,0.0,14025.259713408828,0.006189708642755997,,,,,,,,,,,,,,,
Flow IAT Mean,0.05919652967331493,0.0,277936.11354393564,0.0020660470942671432,,,,,,,,,,,,,,,
Flow IAT Std,0.21609200323343677,0.0,404056.62039233936,0.0037709186941120255,,,,,,,,,,,,,,,
