Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.3415136379030159,0.0,1876.7479194609864,0.03000223102554762,,,,,,,,,,,,,,,
Flow Duration,0.20340684805208822,0.0,11918112.514962854,0.010614004446212537,,,,,,,,,,,,,,,
Total Fwd Packets,0.0806495712416534,0.0,158.24982783261538,0.00022009321252238297,,,,,,,,,,,,,,,
Total Backward Packets,0.15865536496534471,0.0,88.93695361546732,6.493801595076249e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.07923638920411191,0.0,346.52139873985766,4.329919279310431e-06,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.13669611863595066,0.0,94403.73124200257,3.0005098279469364e-09,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.10329083766591662,0.0,55.25202163349079,0.022424659352268853,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.1750874726832753,0.0,10.129814273636688,0.005168379234920121,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.10081587949156895,0.0,12.418765569392512,0.00841230974888941,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.3277702997124869,0.0,32.72150753542608,0.02526437768435309,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.188221166995587,0.0,790.7718051233046,0.10393710188394058,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.1885324461003255,0.0,26.988964335882024,0.05256336852697003,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.14704528340997575,0.0,107.29177456550504,0.04959413484378894,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.45402518542624415,0.0,250.74978985018734,0.08312671183181257,,,,,,,,,,,,,,,
Flow Bytes/s,0.17110704762607779,0.0,486225.42127175396,9.47780259634821e-06,,,,,,,,,,,,,,,
Flow Packets/s,0.2550080752226452,0.0,48918.28041213482,0.014447844616417342,,,,,,,,,,,,,,,
Flow IAT Mean,0.15619783439924062,0.0,1555952.2765284819,0.005640275853307874,,,,,,,,,,,,,,,
