Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
Destination Port,0.2264439212605892,0.0,1276.7169134140258,0.07193916610139113,,,,,,,,,,,,,,,
Flow Duration,0.17833553000567984,0.0,3718410.665912599,0.006027949118203072,,,,,,,,,,,,,,,
Total Fwd Packets,0.09372524983527661,0.0,12.049242220859869,1.3045765636726072e-05,,,,,,,,,,,,,,,
Total Backward Packets,0.0949853383016277,0.0,16.433371681626944,3.854565892514016e-05,,,,,,,,,,,,,,,
Total Length of Fwd Packets,0.07057259453900497,0.0,469.227478831834,1.2011956870029625e-05,,,,,,,,,,,,,,,
Total Length of Bwd Packets,0.13980723036200662,0.0,74870.33252608412,3.475425716822723e-09,,,,,,,,,,,,,,,
Fwd Packet Length Max,0.10204124789196728,0.0,28.3712560932616,0.027735210745679906,,,,,,,,,,,,,,,
Fwd Packet Length Min,0.09722116166052686,0.0,7.037265318183298,0.008033117330908527,,,,,,,,,,,,,,,
Fwd Packet Length Mean,0.11495622613238415,0.0,7.354730234449058,0.010708929041209734,,,,,,,,,,,,,,,
Fwd Packet Length Std,0.28257989176871484,0.0,11.462067297492347,0.017490492237567334,,,,,,,,,,,,,,,
Bwd Packet Length Max,0.07339787619416055,0.0,140.20222800866148,0.029685961172909493,,,,,,,,,,,,,,,
Bwd Packet Length Min,0.06964507422677013,0.0,7.216539581366226,0.011066521172619182,,,,,,,,,,,,,,,
Bwd Packet Length Mean,0.14877045520728144,0.0,54.71423657784287,0.014120852601846279,,,,,,,,,,,,,,,
Bwd Packet Length Std,0.4155364258171888,0.0,56.56887523771076,0.047023980073446804,,,,,,,,,,,,,,,
Flow Bytes/s,0.09272035441244986,0.0,419980.81461896014,1.518691052731708e-07,,,,,,,,,,,,,,,
Flow Packets/s,0.16835529749394587,0.0,12680.065971149317,0.0025664660065371917,,,,,,,,,,,,,,,
Flow IAT Mean,0.08595070878712818,0.0,486573.70781499404,0.0026938774289669933,,,,,,,,,,,,,,,
Flow IAT Std,0.2367066695680352,0.0,512842.62331541226,0.004253205518847981,,,,,,,,,,,,,,,
Flow IAT Max,0.2139464730698165,0.0,1378498.571780988,0.004635894597364741,,,,,,,,,,,,,,,
Flow IAT Min,0.311262716732677,0.0,206947.68292399822,8.44940951714201e-05,,,,,,,,,,,,,,,
Fwd IAT Total,0.1777129538490289,0.0,3633465.3607279146,0.004028492279135177,,,,,,,,,,,,,,,
Fwd IAT Mean,0.1812909101057113,0.0,938276.4148615937,0.0033969642529834416,,,,,,,,,,,,,,,
Fwd IAT Std,0.2940168994000312,0.0,322121.343461745,0.004787404076886415,,,,,,,,,,,,,,,
Fwd IAT Max,0.14573003665456113,0.0,1252598.2484335073,0.0033809409725301565,,,,,,,,,,,,,,,
Fwd IAT Min,0.16788783103341154,0.0,614006.6936811974,0.00010803188777377261,,,,,,,,,,,,,,,
Bwd IAT Total,0.2307255935336754,0.0,3099140.3164864453,0.0027497880100508794,,,,,,,,,,,,,,,
Bwd IAT Mean,0.24532716472820656,0.0,633035.387136449,0.0022288578851775162,,,,,,,,,,,,,,,
Bwd IAT Std,0.33983588761173034,0.0,231354.99790271994,0.0029400026177067856,,,,,,,,,,,,,,,
